Прізвище,Ім’я,По батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Цісик,Аліна,Дмитрівна,Жіноча,08.08.1938,Реабілітолог,місто Тараща,"провулок Дельфін, буд. 192 кв. 7, Кобеляки, 76832",023 304 45 55,alinakolesnychenko@example.org
Жученко,Святослава,Олександрівна,Жіноча,11.04.1969,Фотограф,селище Маріуполь,"площа Одеський, буд. 208 кв. 680, Соледар, 81774",+380 53 610 86 50,antonderevianko@example.net
Швачко,Ірина,Сергіївна,Жіноча,22.06.1989,Бізнесмен,місто Вознесенівка,"узвіз Далекосхідна, буд. 382 кв. 11, Мелітополь, 19855",+380 08 826-79-69,wdeineko@example.net
Черненко,Галина,Іванівна,Жіноча,25.09.1954,Режисер,хутір Жидачів,"шосе Проїзний 3-й, буд. 7 кв. 56, Зугрес, 86075",+380 72 540-85-46,onalyvaiko@example.org
Єрошенко,Ірина,Олександрівна,Жіноча,28.03.1955,Ювелір,місто Сулимівка (Слов'янськ),"проспект Тимірязєва 3-й, буд. 05 кв. 2, Деражня, 57727",069 682 07 58,eshcherbak@example.net
Свистун,Златослава,Дмитрівна,Жіноча,29.06.1955,Математик,селище Сарни,"узвіз Верещагіна, буд. 627, Курахове, 92857",017 131 55 41,kvatamaniuk@example.net
Товстуха,Юстина,Дмитрівна,Жіноча,16.06.1999,Мовознавець,хутір Виноградів,"проспект Болградська, буд. 95 кв. 4, Мар'їнка, 10968",036 803 98 01,pryimakihor@example.org
Чалий,Пріска,Михайлівна,Жіноча,21.11.1942,Маркетолог,місто Кам'янка-Бузька,"набережна Неплія, буд. 824, Зоринськ, 61051",+380 68 214-37-96,panteleimon09@example.net
Дейсун,Орися,Сергіївна,Жіноча,08.10.1955,Ювелір,місто Миколаївка ,"провулок Заводська 2-га, буд. 99, Рожище, 10654",026 50 88,kdeineko@example.com
Штокало,Алла,Петрівна,Жіноча,20.07.2003,Ветеринар,селище Зборів,"проспект Газовий, буд. 2 кв. 243, Армянськ, 45389",+380 (12) 663-86-21,olenastelmakh@example.org
Ємельяненко,Лілія,Вікторівна,Жіноча,14.01.2005,Електромонтажник,село Алчевськ,"узвіз Прорізний, буд. 2 кв. 982, Гребінка, 26945",+380 49 557-31-25,iakiv52@example.com
Товстуха,Марина,Олександрівна,Жіноча,06.07.1989,Візажист,село Перещепине,"вулиця Наливна, буд. 4, Заліщики, 42102",+380 97 733-38-67,oryna41@example.com
Бандурка,Соломія,Федорівна,Жіноча,17.08.1942,Історик,село Хотин,"шосе Іспанський, буд. 631 кв. 954, Борщів, 57745",075 61 15,mazurhalyna@example.com
Фастенко,Галина,Андріївна,Жіноча,01.08.1958,Каскадер,хутір Рахів,"парк Учительський, буд. 50 кв. 624, Хмільник, 09907",509 42 01,emiliiairvanets@example.org
Юрченко,Христина,Михайлівна,Жіноча,05.12.1968,Реабілітолог,місто Марганець ,"парк Лінія 41-ша, буд. 08, Здолбунів, 35105",080 082 61 25,xiatsenko@example.net
Демиденко,Алла,Федорівна,Жіноча,26.10.1983,Штукатур,селище Волочиськ,"проспект Жуковського, буд. 92 кв. 854, П'ятихатки, 58598",059 636-66-27,avernyhora@example.org
Ільєнко,Володимира,Михайлівна,Жіноча,24.03.1941,Головний меркшейдер,село Черкаси,"парк Єврейська, буд. 886, Ялта, 30854",+380 63 036-47-49,kbarannyk@example.org
Шиян,Віра,Петрівна,Жіноча,12.10.1996,Інженер,селище Перещепине,"набережна Шкіперська, буд. 1 кв. 66, Решетилівка, 55858",014 743-96-57,lukianderiazhnyi@example.com
Рубан,Людмила,Петрівна,Жіноча,10.03.1938,Актор,місто Сквира,"проспект Стєклова, буд. 9, Середина-Буда, 58433",+380 34 647 75 84,banderanestor@example.net
Кибкало,Дарина,Андріївна,Жіноча,29.09.2006,Стиліст,селище Старобільськ,"провулок Тупиковий 1-й, буд. 00 кв. 3, Апостолове, 06462",307-13-56,arsen33@example.org
Єрьоменко,Любов,Вікторівна,Жіноча,03.02.2000,Бухгалтер,село Мар'їнка,"сквер Красних Зорь, буд. 028 кв. 87, Моспине, 67300",+380 69 375 30 45,lchernenko@example.net
Тесленко,Ярослава,Федорівна,Жіноча,14.12.1968,Кур'єр,село Славутич,"набережна Нерубайська, буд. 7 кв. 02, Вугледар, 15153",949 83 76,fzasenko@example.com
Макогон,Марта,Петрівна,Жіноча,07.12.1998,Водій,місто Дубно,"провулок Мазепи Івана, буд. 39, Вільнянськ, 65183",+380 99 584-72-35,iaroslava01@example.net
Хомик,Христина,Вікторівна,Жіноча,05.02.1976,Юрист,селище Жовті Води,"проспект Офіцерський 2-й, буд. 128, Кропивницький, 23441",+380 72 158-50-41,venedykt23@example.net
Свистун,Алла,Іванівна,Жіноча,19.02.2000,Кухар,хутір Новоазовськ,"площа Ф. Пішеніна, буд. 88, Нікополь, 39417",+380 (51) 172-10-68,stanislav78@example.net
Пушкар,Варвара,Андріївна,Жіноча,26.11.2006,Журналіст,хутір Амвросіївка,"площа Купріна, буд. 379, Кипуче, 30922",+380 (73) 143-18-50,atamaniukliubov@example.org
Симоненко,Роксолана,Олександрівна,Жіноча,28.01.1974,Стоматолог,місто Шумськ,"вулиця 5-та Лінія 6-й ст. Люстдорфської дороги, буд. 755, Буринь, 93504",+380 74 175 34 60,jdzhus@example.org
Литвин,Одарка,Сергіївна,Жіноча,22.07.1962,Фізик,місто Тисмениця,"проспект Західний 2-й, буд. 2 кв. 988, Молодогвардійськ, 11615",+380 60 123 33 41,sviatoslavkorbut@example.net
Гаврюшенко,Сніжана,Михайлівна,Жіноча,13.05.1997,Льотчик,місто Фастів,"сквер Чапаєва, буд. 82, Кобеляки, 77429",+380 24 075-75-28,fedir82@example.org
Царенко,Орися,Сергіївна,Жіноча,13.05.1943,Різноробочий,село Жданівка,"узвіз Суворовська, буд. 8 кв. 116, Єнакієве, 58994",+380 58 862-52-88,veniiamynpiatachenko@example.net
Бабич,Амалія,Сергіївна,Жіноча,29.08.1993,Гірничий інженер,хутір Радомишль,"сквер Луцька, буд. 900, Сторожинець, 27936",047 431 55 35,riabetsmykyta@example.org
Притула,Аліна,Дмитрівна,Жіноча,20.07.1942,Електромонтер,хутір Малин,"площа Балтський 5-й, буд. 166 кв. 670, Нововолинськ, 87817",+380 11 622-36-30,viacheslav52@example.org
Опанасенко,Валентина,Петрівна,Жіноча,15.08.1940,Музичний редактор,місто Нововолинськ,"шосе Кільцева, буд. 30, Тернівка , 86420",805 65 09,bohuslavasymonenko@example.com
Свириденко,Любов,Андріївна,Жіноча,25.03.1956,Астрофізик,хутір Бережани,"вулиця Новоселів, буд. 79 кв. 97, Шпола, 03319",025 692-70-10,verkholaboryslav@example.net
Салій,Одарка,Іванівна,Жіноча,09.03.1947,Психолог,селище Черкаси,"набережна Дунаєвського 3-й, буд. 113, Берегове, 39631",+380 (81) 217-59-94,babychhavrylo@example.net
Бабʼюк,Сніжана,Вікторівна,Жіноча,02.02.1938,Ветеринар,село Миколаївка ,"вулиця Камишова, буд. 0, Таврійськ, 37035",+380 69 898 89 12,nestorandriishyn@example.net
Петрик,Лілія,Володимирівна,Жіноча,12.06.1994,Географ,хутір Привілля,"набережна Дачний, буд. 31 кв. 4, Оріхів, 26721",177 06 88,hresedyta@example.org
Гайдамака,Михайлина,Сергіївна,Жіноча,10.03.1971,М'ясник,село Красноград,"узвіз Короленка, буд. 171 кв. 58, Кагарлик, 03875",+380 59 538-06-85,tlahoda@example.com
Юхименко,Олена,Олександрівна,Жіноча,16.03.1940,Пілот,селище Умань,"сквер Заводська 1-ша, буд. 4 кв. 696, Ізяслав, 67937",033 940-23-30,riabetshennadii@example.com
Пʼятаченко,Маруся,Іванівна,Жіноча,30.09.1950,Співак,хутір Покровськ,"узвіз Махачкалинська, буд. 0 кв. 2, Вознесенськ, 71222",+380 (77) 704-25-82,valentyn61@example.com
Атаманчук,Пріска,Вікторівна,Жіноча,01.02.1985,Ді-джей,місто Бершадь,"набережна Жуковського, буд. 725 кв. 41, Виноградів, 30765",+380 (44) 084-17-05,semen35@example.net
Рак,Володимира,Вікторівна,Жіноча,22.12.2000,Історик,село Підгайці,"вулиця Строганов міст, буд. 32, Буринь, 03318",790-35-21,kkolisnychenko@example.org
Бабариченко,Аніта,Олександрівна,Жіноча,20.05.1940,Художник,хутір Рені,"набережна 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 028 кв. 83, Канів, 72730",796-41-50,iaroslava91@example.net
Андрейко,Любов,Вікторівна,Жіноча,02.10.1974,Льотчик,хутір Новгород-Сіверський,"провулок Зелений, буд. 230, Барвінкове, 08017",066 350-83-68,qdubas@example.net
Шахрай,Ярина,Іванівна,Жіноча,14.12.1938,Науковець,село Сватове,"проспект Лінійна, буд. 46 кв. 9, Яготин, 73913",018 512 71 17,myroslavshvachka@example.net
Самойленко,Еріка,Олександрівна,Жіноча,29.06.1983,Пекар,селище Березань ,"провулок Гладкова, буд. 6, Підгайці, 58713",+380 34 074-80-32,priska01@example.com
Павлик,Едита,Вікторівна,Жіноча,04.01.2008,Стиліст,село Сновськ,"набережна Радіальна, буд. 484 кв. 88, Маріуполь, 37611",163 61 81,iustymshapoval@example.com
Зінкевич,Соломія,Сергіївна,Жіноча,24.08.1968,Програміст,селище Городок,"провулок Хвойний, буд. 3, Берестечко, 17751",+380 (73) 252-49-46,boryslavnalyvaiko@example.org
Жарко,Любов,Федорівна,Жіноча,14.10.2004,Кінолог,село Жидачів,"сквер Кузнечна, буд. 06, Славута, 95808",030 143 08 18,andriiovychorysia@example.net
Усик,Надія,Федорівна,Жіноча,18.07.1987,Нотаріус,хутір Роздільна,"сквер Восьмого березня 2-й, буд. 50, Новоград-Волинський, 12309",462-03-63,jhunko@example.org
Притула,Дарина,Петрівна,Жіноча,13.01.1973,Стиліст,місто Сокиряни,"проспект Подільська, буд. 46 кв. 970, Шепетівка, 17311",+380 (97) 494-50-61,marusia13@example.net
Абрамчук,Вікторія,Сергіївна,Жіноча,10.03.1947,Громадський діяч,село Соснівка ,"сквер Тарутинська, буд. 8, Чорноморськ, 86603",069 097 08 64,levchenkoiryna@example.org
Давимука,Лілія,Іванівна,Жіноча,21.08.1970,Доцент,хутір Дрогобич,"вулиця Василя Симоненка, буд. 6 кв. 9, Боково-Хрустальне, 91412",062 166-00-87,anastasiia01@example.com
Рубець,Соломія,Дмитрівна,Жіноча,13.12.1974,Юрист,село Ізюм,"узвіз Сумська, буд. 40 кв. 5, Бровари, 76928",+380 03 715-75-40,xbabychenko@example.net
Приймак,Людмила,Сергіївна,Жіноча,26.01.1998,Співак,село Каховка,"провулок Промисловий, буд. 049, Хуст, 27338",484 74 39,kostiantynbevzenko@example.org
Фартушняк,Юстина,Федорівна,Жіноча,28.11.1978,Фізик,місто Гнівань,"шосе Чайковського, буд. 7 кв. 7, Попасна, 22785",016 22 47,nizhak@example.com
Верховинець,Аніта,Іванівна,Жіноча,02.02.1965,Хімік,селище Зборів,"провулок Лінія 23-тя, буд. 3 кв. 9, Боково-Хрустальне, 15392",025 837 76 03,roksolanapetrenko@example.org
Лазаренко,Златослава,Дмитрівна,Жіноча,26.01.2006,Електротехнік,село Кілія,"сквер Мала Садова, буд. 475, Лебедин, 68550",+380 37 746-16-59,myroslavderevianko@example.net
Скиба,Ярина,Федорівна,Жіноча,26.03.1942,Няня,хутір Святогірськ,"вулиця Приморська, буд. 79 кв. 8, Камінь-Каширський, 81532",+380 44 562-90-43,danylo16@example.org
Власюк,Тереза,Андріївна,Жіноча,03.02.2007,Прокурор,село Кременець,"проспект Рєпіна, буд. 497, Попасна, 11618",071 519 64 49,hukkhrystyna@example.com
Бандура,Еріка,Дмитрівна,Жіноча,18.08.1976,Золотар,місто Новомосковськ,"провулок Лінія 23-тя, буд. 5, Суходільськ, 83263",069 877 77 99,orynapiddubnyi@example.org
Дробʼязко,Марина,Федорівна,Жіноча,16.12.1965,Кінокритик,місто Курахове,"сквер Тимірязєва 5-й, буд. 379, Борзна, 56533",299-17-39,vtereshchuk@example.net
Щорс,Ганна,Дмитрівна,Жіноча,05.04.1946,Гінеколог,селище Нова Одеса,"парк 7-ма Суворовська, буд. 741 кв. 974, Кременець, 36941",+380 06 959-65-02,vitalii92@example.net
Сіробаба,Світлана,Іванівна,Жіноча,01.07.1960,Продюсер,місто Кам'янка (Черкаська область),"площа Східний, буд. 105, Галич, 97871",+380 41 225 38 50,bkalchenko@example.org
Фоменко,Софія,Вікторівна,Жіноча,13.11.1956,Модельєр,місто Антрацит ,"провулок Садова, буд. 26 кв. 957, Сторожинець, 79750",509 11 24,sliusaromelian@example.com
Вовк,Мілена,Андріївна,Жіноча,07.09.1972,Кінорежисер,село Лутугине,"сквер Естонська, буд. 82 кв. 398, Болехів, 44236",044 333 64 03,iustynarak@example.com
Ковалюк,Едита,Петрівна,Жіноча,28.11.2003,Кіноактор,село Шепетівка,"узвіз Радіо, буд. 00 кв. 95, Рожище, 48335",+380 26 260-63-16,azarrak@example.com
Височан,Амалія,Володимирівна,Жіноча,04.07.1939,Краєзнавець,селище Тетіїв,"вулиця 5-та Суворовська, буд. 12 кв. 396, Сватове, 85020",571 27 08,shovkopliasdaryna@example.org
Артимишин,Дарина,Сергіївна,Жіноча,29.08.1941,Фізик,селище Українськ,"шосе Машинобудівний, буд. 1, Вашківці, 84277",+380 88 405-35-53,leopoldsirko@example.com
Чумак,Анастасія,Федорівна,Жіноча,31.12.1980,Підприємець,хутір Вишневе ,"проспект Десантний, буд. 62 кв. 62, Сокаль, 68633",920 67 87,leopoldlevchenko@example.org
Дейсун,Данна,Сергіївна,Жіноча,25.09.1956,Клавішник,місто Моршин,"сквер Економічний, буд. 49 кв. 130, Подільськ, 89895",884 87 47,hhavrylyshyn@example.net
Гайдабура,Анжела,Іванівна,Жіноча,01.02.1994,Сценарист,хутір Славута,"провулок Городня, буд. 0 кв. 6, Краматорськ, 67411",+380 37 897-14-27,bohuslav02@example.com
Дерегус,Вікторія,Андріївна,Жіноча,08.09.1990,Педагог,хутір Лозова ,"провулок Москвіна, буд. 0 кв. 164, Дубровиця, 18485",+380 37 634-31-91,iashchenkonadiia@example.org
Батюк,Єлисавета,Володимирівна,Жіноча,29.03.1981,Живописець,місто Лутугине,"узвіз Короткий, буд. 3, Кремінна, 58807",032 462-04-45,artemtsymbaliuk@example.net
Гречаник,Орися,Андріївна,Жіноча,04.10.1997,Клавішник,місто Сватове,"набережна Мечникова, буд. 03, Коломия, 88242",060 019 97 79,avhustyn40@example.net
Сірченко,Богуслава,Дмитрівна,Жіноча,12.02.1940,Економіст,село Тячів,"набережна Українська, буд. 696 кв. 5, Долинська, 04456",+380 01 759 08 36,myronvdovychenko@example.com
Артюшенко,Марʼяна,Федорівна,Жіноча,15.03.2002,Кінокритик,село Слов'янськ,"площа Матроський узвіз, буд. 84 кв. 2, Євпаторія, 11558",+380 87 255-75-90,rostyslav61@example.com
Ґоляш,Наталія,Дмитрівна,Жіноча,07.06.1950,Архітектор,село Пологи ,"провулок Зої Космодем’янської, буд. 6 кв. 8, Біла Церква, 67625",044 428 89 56,pgalagan@example.com
Авдєєнко,Наталія,Вікторівна,Жіноча,19.12.1973,Електрослюсар,селище Знам'янка,"площа Приморський, буд. 605 кв. 8, Немирів, 43222",+380 59 546 60 24,olifirenkoostap@example.net
Лавренко,Ольга,Іванівна,Жіноча,06.10.1997,Кінорежисер,місто Білопілля,"парк Квітковий, буд. 44, Золоте, 32105",+380 70 548-55-29,zasiadkohalyna@example.org
Карпенко,Михайлина,Михайлівна,Жіноча,18.04.1972,Дизайнер,селище Маріуполь,"парк Чапаєва 2-й, буд. 861, Вишневе , 32987",+380 21 004 58 41,alinahavryliv@example.net
Штепа,Едита,Михайлівна,Жіноча,22.02.1967,Клавішник,селище Стрий,"узвіз 4-та Лінія 6-й ст. Люстдорфської дороги, буд. 8 кв. 3, Коростень, 65290",181-49-04,dakhnooleh@example.net
Рудик,Єва,Дмитрівна,Жіноча,28.01.1970,Епідеміолог,село Берестечко,"шосе Василя Кандинського 2-й, буд. 2 кв. 4, Іловайськ, 27275",905-00-63,danskorobohatko@example.net
Рева,Софія,Олександрівна,Жіноча,20.12.1939,Дантист,місто Кодима,"провулок 8-ма Лінія 6-й ст. Люстдорфської дороги, буд. 0 кв. 89, Сарни, 67724",024 129 44 58,azar25@example.com
Опанасенко,Мілена,Олександрівна,Жіноча,20.04.1978,Кур'єр,місто Кам'янське,"парк Овідіопольська, буд. 44, Сорокине, 26979",+380 (97) 006-59-21,flevchenko@example.net
Яремчук,Маруся,Вікторівна,Жіноча,24.09.1986,Секретар,місто Гребінка,"шосе Фабрична, буд. 10 кв. 3, Харцизьк, 67419",045 969-71-93,smazepa@example.com
Чубай,Анжела,Федорівна,Жіноча,22.02.1964,Астроном,місто Миколаїв,"площа 1-ша Суворовська, буд. 8 кв. 30, Городище , 19439",+380 (97) 736-16-95,bbakumenko@example.net
Корж,Данна,Іванівна,Жіноча,26.04.1940,Гінеколог,хутір Бердичів,"шосе Водопровідна, буд. 6, Молочанськ, 63207",266-33-46,kyrylenkovalentyn@example.com
Юрченко,Одарка,Володимирівна,Жіноча,11.06.2001,Стиліст,селище Ізмаїл,"набережна Богдана Хмельницького, буд. 22, Житомир, 37782",049 195-11-52,hpavlyk@example.net
Сацюк,Ірина,Андріївна,Жіноча,22.07.2002,Літературознавець,селище Славута,"шосе Аеропортівський 4-й, буд. 32 кв. 509, Мукачево, 83676",+380 49 972-70-16,viraderehus@example.org
Корж,Богуслава,Федорівна,Жіноча,24.10.1977,Стоматолог,село Золотоноша,"шосе Ботанічний, буд. 5, Лебедин, 85382",+380 75 510-11-00,valeriismyk@example.net
Заїка,Валентина,Михайлівна,Жіноча,26.06.1995,Математик,село Вижниця,"набережна Маланова, буд. 4 кв. 4, Донецьк, 16739",+380 03 536-18-66,havrylenkoleon@example.org
Овсієнко,Вікторія,Олександрівна,Жіноча,17.03.1979,Клоун,місто Прип'ять ,"вулиця Люстдорфська дорога, буд. 8 кв. 6, Лозова , 08967",+380 61 296-36-78,khrystyna53@example.com
Зайченко,Клавдія,Михайлівна,Жіноча,05.01.1978,Головний меркшейдер,селище Надвірна,"вулиця Азербайджан, буд. 3 кв. 2, Амвросіївка, 29066",243 19 67,liubovstelmakh@example.com
Пʼятаченко,Валентина,Володимирівна,Жіноча,10.07.1987,Астроном,місто Кам'янка-Дніпровська,"вулиця Оранжерейний, буд. 13 кв. 747, Армянськ, 24452",298-85-52,khrystychiosyp@example.com
Супруненко,Людмила,Федорівна,Жіноча,15.06.2000,Патологоанатом,село Горохів,"провулок Лінія 33-тя, буд. 712 кв. 08, Кременець, 38049",032 979-04-33,wderkach@example.com
Височан,Ліза,Дмитрівна,Жіноча,29.09.1986,Різноробочий,місто Іловайськ,"сквер Лінія 46-та, буд. 59, Надвірна, 38830",+380 77 437-53-32,skolesnychenko@example.net
Доценко,Варвара,Дмитрівна,Жіноча,22.05.1994,Фермер,хутір Зміїв,"вулиця Хаджибейський 3-й, буд. 38, Куп'янськ, 57712",033 731-77-36,varvaravasylashko@example.com
Євдокименко,Людмила,Іванівна,Жіноча,02.06.1969,Сантехнік,місто Олевськ,"проспект Новиков міст, буд. 2 кв. 565, Ровеньки, 54188",+380 (38) 739-14-23,priskababko@example.com
Височан,Еріка,Петрівна,Жіноча,07.07.1994,Сценарист,селище Угнів,"проспект Восьмого березня 7-й, буд. 5 кв. 96, Іршава, 11232",+380 23 670-19-39,rostyslavshylo@example.org
Іванченко,Віра,Вікторівна,Жіноча,19.11.1959,Модельєр,хутір Мар'їнка,"сквер Асташкіна, буд. 98, Бережани, 71834",533-12-53,fedirieresko@example.com
Верменич,Світлана,Сергіївна,Жіноча,28.12.1984,Електромонтажник,селище Буринь,"проспект Водопровідний 2-й, буд. 566 кв. 3, Торецьк, 34579",016 379 39 23,llahoda@example.com
Мамчур,Варвара,Михайлівна,Жіноча,06.10.1940,Стиліст,селище Бровари,"парк Кладовищний, буд. 13 кв. 576, Балта, 72992",+380 75 340 23 07,snizhana17@example.com
Цимбал,Орина,Михайлівна,Жіноча,12.04.1956,Соціолог,хутір Броди,"проспект Тимірязєва, буд. 9, Кіцмань, 35735",042 406 88 89,olehmykhaliuk@example.com
Зубко,Альбіна,Петрівна,Жіноча,29.09.1940,Фермер,село Тальне,"провулок Олександра Невського 4-й, буд. 6 кв. 385, Снігурівка, 17330",+380 31 824-73-31,aleksandrenkoavhustyn@example.net
Гавриш,Алла,Дмитрівна,Жіноча,11.04.1938,Складальник,місто Копичинці,"провулок Єлісаветинська, буд. 99 кв. 99, Решетилівка, 11324",049 221 80 46,kybkaloandrii@example.com
Влох,Людмила,Дмитрівна,Жіноча,03.06.1956,Письменник,село Антрацит ,"сквер Суднобудівна, буд. 7, Гірське, 10550",+380 (76) 462-59-23,khomakanivets@example.com
Охріменко,Єлисавета,Андріївна,Жіноча,01.12.1978,Географ,село Гайворон,"набережна Куяльницький міст, буд. 6, Гірник , 26655",338 17 12,kyrylokylymnyk@example.com
Жарко,Оксана,Володимирівна,Жіноча,18.02.2007,Візажист,хутір Кипуче,"шосе Дубова, буд. 713, Кролевець, 45669",812-88-88,erika68@example.net
Дубина,Богуслава,Вікторівна,Жіноча,10.09.1946,Державний службовець,місто Вознесенськ,"вулиця Перепечка, буд. 553 кв. 511, Боково-Хрустальне, 41514",057-48-06,qtymchenko@example.net
Дрозд,Людмила,Петрівна,Жіноча,17.11.1963,Фізик,селище Покровськ,"набережна Михайлівська, буд. 5 кв. 95, Зеленодольськ, 57334",094 187 93 92,irynadanchuk@example.com
Макаренко,Ірина,Сергіївна,Жіноча,27.09.1960,Круп'є,село Ірміно,"узвіз Пішонівська, буд. 685, П'ятихатки, 10775",+380 42 766-01-87,liudmylamalyshko@example.org
Дуплій,Марта,Вікторівна,Жіноча,24.12.2000,Нотаріус,село Кривий Ріг,"площа Кондрашина, буд. 9 кв. 582, Лохвиця, 65010",+380 64 439-78-72,gmakarenko@example.net
Жадан,Амалія,Петрівна,Жіноча,08.10.1949,Фізик,селище Привілля,"провулок Чехова, буд. 490, Синельникове, 48761",132 12 22,anzhela32@example.net
Данько,Лариса,Олександрівна,Жіноча,26.05.1956,Фольклорист,хутір Роздільна,"узвіз 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 193 кв. 15, Синельникове, 16878",099 278 66 14,iefremlemeshko@example.org
Влох,Аніта,Сергіївна,Жіноча,16.07.1983,Публіцист,хутір Інкерман,"набережна Скрипковий, буд. 4, Скадовськ, 17785",085 716 40 03,danchukalina@example.net
Ґерета,Володимира,Михайлівна,Жіноча,20.08.1999,Мікробіолог,хутір Ясинувата,"узвіз Лазурний 2-й, буд. 18, Могилів-Подільський, 01253",+380 19 972 27 96,xmazepa@example.com
Саєнко,Оксана,Сергіївна,Жіноча,16.08.1991,Професор,село Міусинськ,"сквер Більшовицький, буд. 751, Мала Виска, 34627",886-60-25,avhustyn29@example.com
Чарниш,Клавдія,Дмитрівна,Жіноча,17.11.2006,Паралегал,хутір Дружба ,"шосе Орловський, буд. 98 кв. 601, Турка, 92493",+380 75 847-24-89,dmasokha@example.org
Тарасенко,Ярослава,Олександрівна,Жіноча,10.10.2005,Сантехнік,селище Лиман ,"парк Ярморочна площа, буд. 200 кв. 61, Старий Крим, 30711",333 33 09,orysia66@example.net
Гуцуляк,Алла,Петрівна,Жіноча,20.11.1978,Краєзнавець,селище Севастополь,"набережна Новобазарний, буд. 53 кв. 4, Щолкіне, 85274",017 426-00-01,riabovilalla@example.org
Валенко,Ярина,Іванівна,Жіноча,11.11.1955,Клоун,село Світлодарськ,"сквер Промисловий, буд. 50, Світлодарськ, 61452",078 643 47 70,khrystyna59@example.net
Заїка,Роксолана,Вікторівна,Жіноча,20.12.1960,Каскадер,селище Соснівка ,"сквер Капітана Кузнецова, буд. 2 кв. 8, Новий Калинів, 97326",447-46-47,bhydenkooleksa@example.com
Єфименко,Оксенія,Вікторівна,Жіноча,29.08.1943,Ді-джей,село Обухів,"набережна Абрикосова, буд. 166, Вовчанськ, 66209",372-98-85,mmiroshnychenko@example.com
Ґерета,Маруся,Федорівна,Жіноча,22.01.1967,Стоматолог,селище Іловайськ,"парк Преображенська, буд. 7, Мар'їнка, 34787",972 46 36,pylyp79@example.org
Гук,Анастасія,Вікторівна,Жіноча,22.11.1992,Секретар,село Яворів,"шосе Кипарисний 3-й, буд. 99, Фастів, 23970",+380 (85) 726-03-37,tmykhaliuk@example.org
Мамчур,Богданна,Вікторівна,Жіноча,09.10.2007,Перекладач,селище Брянка,"провулок Ланжерон, буд. 98, Яворів, 96492",900 51 01,danna62@example.org
Данильчук,Едита,Вікторівна,Жіноча,07.07.1965,Нотаріус,місто Червоносів,"узвіз Путьова, буд. 830 кв. 34, Свалява, 71422",062 117-30-83,pavlo19@example.com
Мазур,Тетяна,Дмитрівна,Жіноча,29.06.1950,Астронавт,хутір Сторожинець,"вулиця Соляний 5-й, буд. 83, Узин, 07652",+380 (42) 602-30-69,dgoliash@example.net
Лупій,Ірина,Михайлівна,Жіноча,08.11.1951,Ріелтор,селище Хирів,"провулок Угорська, буд. 636, Міусинськ, 60681",+380 42 610 47 23,ziakymchuk@example.net
Ґереґа,Роксолана,Сергіївна,Жіноча,29.12.1974,Піаніст,селище Броди,"набережна Курганська, буд. 9 кв. 136, Чорнобиль, 04935",+380 64 312-48-93,orkhyphavrylyshyn@example.net
Корпанюк,Людмила,Сергіївна,Жіноча,14.06.1990,Мірошник,хутір Славута,"проспект Промисловий, буд. 069 кв. 11, Галич, 60541",+380 00 330 99 03,orkhyp51@example.org
Андрусенко,Альбіна,Андріївна,Жіноча,08.11.1985,Дантист,село Кам'янське,"вулиця Оранжерейний, буд. 247 кв. 435, Семенівка, 43146",387 30 06,sviatoslava89@example.net
Рудик,Ольга,Олександрівна,Жіноча,20.11.1991,Етнограф,місто Вишгород,"парк Тульська, буд. 37, Красилів, 63395",+380 (33) 995-93-36,stuskyrylo@example.org
Терещук,Аліна,Андріївна,Жіноча,21.02.1947,Клоун,хутір Докучаєвськ,"шосе Амурський 3-й, буд. 26, Червоноград, 83887",077 517-67-98,volodymyra82@example.net
Гук,Ірина,Вікторівна,Жіноча,10.12.2000,Співак,хутір Золочів,"парк Кінна, буд. 5, Кремінна, 62692",034-59-43,sirchenkopanas@example.com
Джус,Тереза,Вікторівна,Жіноча,16.05.2005,Географ,місто Щастя ,"набережна Моторний 3-й, буд. 528 кв. 4, Почаїв, 70777",918 21 01,kyryloartymovych@example.com
Стельмах,Тереза,Володимирівна,Жіноча,30.09.1991,Детектив,село Виноградів,"площа Тульська, буд. 05 кв. 43, Джанкой, 12849",+380 (23) 943-24-62,cherednykdanylo@example.org
Рябовіл,Ярослава,Петрівна,Жіноча,05.09.1962,Краєзнавець,селище Полтава,"набережна Братів Поджіо, буд. 1, Кропивницький, 39667",+380 86 082-24-31,borysudovychenko@example.com
Лагода,Богданна,Михайлівна,Жіноча,12.09.1956,Каскадер,місто Ржищів,"шосе Студентський 5-й, буд. 5 кв. 948, Тетіїв, 58320",+380 93 027 84 86,utsisyk@example.net
Романенко,Аліна,Володимирівна,Жіноча,17.03.1988,Палеонтолог,хутір Зіньків,"узвіз Цебриківська, буд. 32, Географія Вільнянська, 81331",+380 (69) 635-57-08,nazar46@example.org
Медведенко,Соломія,Володимирівна,Жіноча,29.01.1986,Композитор,місто Сіверськ,"проспект Агрономічна, буд. 47 кв. 6, Київ, 46634",042 696-34-51,zhuravelhordii@example.com
Бараник,Віолетта,Петрівна,Жіноча,09.11.1966,Водій,село Остер ,"парк Соціальна, буд. 400, Путивль, 92091",+380 48 491-17-43,teslenkopanas@example.net
